,vivo V30e,vivo V30,vivo V29e,vivo V29,vivo V29e,vivo V27,vivo V27e,vivo Y100 4G,vivo Y100,vivo Y36 5G,vivo Y36,vivo Y28,vivo Y27s,vivo Y17s,vivo Y03,vivo Y02t,vivo X100
Announced,"2024, May 02","2024, February 04","2023, October 23","2023, July 31","2023, October 23","2023, March 01","2023, March 01","2024, May 03","2023, February 16","2023, May 27","2023, May 27","2024, January 07","2023, November 07","2023, September 18","2024, March 13","2023, July 12","2023, November 13"
Display Type,"AMOLED, 1B colors, 120Hz, 1300 nits (peak)","AMOLED, 1B colors, HDR10+, 120Hz, 1200 nits (HBM), 2800 nits (peak)","AMOLED, 120Hz, 1150 nits (peak)","AMOLED, 1B colors, 120Hz, HDR10+","AMOLED, 120Hz, 1150 nits (peak)","AMOLED, 1B colors, 120Hz, HDR10+","AMOLED, 120Hz","AMOLED, 120Hz, 1800 nits (peak)","AMOLED, 90Hz, HDR10+, 1300 nits (peak)","IPS LCD, 90Hz, 650 nits (peak)","IPS LCD, 90Hz, 650 nits (peak)","IPS LCD, 90Hz, 840 nits (HBM)","IPS LCD, 90Hz, 650 nits (peak)","IPS LCD, 700 nits (peak)","IPS LCD, 90Hz",IPS LCD,"LTPO AMOLED, 1B colors, 120Hz, 3000 nits (peak)"
Display Size,"6.78 inches, 111.0 cm2 (~90.3% screen-to-body ratio)","6.78 inches, 111.0 cm2 (~89.9% screen-to-body ratio)","6.67 inches, 107.4 cm2 (~88.3% screen-to-body ratio)","6.78 inches, 111.0 cm2 (~90.8% screen-to-body ratio)","6.67 inches, 107.4 cm2 (~88.3% screen-to-body ratio)","6.78 inches, 111.0 cm2 (~90.4% screen-to-body ratio)","6.62 inches, 105.8 cm2 (~85.9% screen-to-body ratio)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","6.38 inches, 98.3 cm2 (~84.1% screen-to-body ratio)","6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio)","6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio)","6.56 inches, 103.4 cm2 (~83.8% screen-to-body ratio)","6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio)","6.56 inches, 103.4 cm2 (~83.8% screen-to-body ratio)","6.56 inches, 103.4 cm2 (~83.4% screen-to-body ratio)","6.51 inches, 102.3 cm2 (~82.5% screen-to-body ratio)","6.78 inches, 111.5 cm2 (~90.3% screen-to-body ratio)"
Resolution,"1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","1080 x 2400 pixels, 20:9 ratio (~398 ppi density)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","1080 x 2400 pixels, 20:9 ratio (~413 ppi density)",1080 x 2388 pixels (~395 ppi density),1080 x 2388 pixels (~395 ppi density),"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",1080 x 2388 pixels (~395 ppi density),"720 x 1612 pixels, 20:9 ratio (~269 ppi density)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","1260 x 2800 pixels, 20:9 ratio (~452 ppi density)"
OS,"Android 14, Funtouch 14","Android 14, Funtouch 14","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 14, Funtouch 14","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 13, Funtouch 13","Android 14, Funtouch 14","Android 13, Funtouch 13","Android 14, Funtouch 14 (International), OriginOS 4 (China)"
Chipset,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Qualcomm SM6375 Snapdragon 695 5G (6 nm),Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Qualcomm SM6375 Snapdragon 695 5G (6 nm),Mediatek Dimensity 7200 (4 nm),Mediatek Helio G99 (6 nm),Qualcomm SM6225 Snapdragon 685 (6 nm),Mediatek Dimensity 900 (6 nm),Mediatek Dimensity 6020 (7 nm),Qualcomm SM6225 Snapdragon 680 4G (6 nm),Mediatek Dimensity 6020 (7 nm),Qualcomm SM6225 Snapdragon 680 4G (6 nm),Mediatek MT6769 Helio G85 (12 nm),Mediatek Helio G85 (12 nm),Mediatek MT6765 Helio P35 (12 nm),Mediatek Dimensity 9300 (4 nm)
CPU,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),Octa-core (1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720)
Memory(Internal),"128GB 8GB RAM, 256GB 8GB RAM","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","256GB 8GB RAM, 256GB 12GB RAM","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","256GB 8GB RAM, 256GB 12GB RAM","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",256GB 8GB RAM,128GB 8GB RAM,256GB 8GB RAM,"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","128GB 8GB RAM, 256GB 8GB RAM","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","64GB 4GB RAM, 128GB 4GB RAM","64GB 4GB RAM, 128GB 4GB RAM","256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM"
Main Camera,"50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS (India only)
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm","50 MP, f/1.9, 23mm (wide), 1/1.55"", 1.0µm, PDAF, OIS
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF
2 MP, f/2.4 (market/region dependent)","64 MP, f/1.8, (wide), PDAF, OIS
8 MP, f/2.2, (ultrawide)","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (depth)","64 MP, f/1.8, (wide), PDAF, OIS
8 MP, f/2.2, (ultrawide)","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","64 MP, f/1.8, (wide), PDAF, OIS
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","64 MP, f/1.8, (wide), 0.7µm, PDAF, OIS
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)
2 MP, f/2.4, (macro)
* the macro camera availability is market/region dependent","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","13 MP, f/2.2, (wide), PDAF
0.08 MP, f/3.0 (auxiliary lens)","8 MP, f/2.0","50 MP, f/1.6, (wide), 1/1.49"", PDAF, Laser AF, OIS
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3x optical zoom
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF"
Front Camera,"50 MP, f/2.5, 25mm (wide), AF - India
32 MP, f/2.0, 24mm (wide) - Malaysia","50 MP, f/2.0, 21mm (wide), 1/2.76"", 0.64µm, AF","50 MP, f/2.0, 22mm (wide), AF","50 MP, f/2.0, 22mm (wide), 1/2.76"", 0.64µm, AF","50 MP, f/2.0, 22mm (wide), AF","50 MP, f/2.5, (wide), AF","32 MP, f/2.5, (wide)","8 MP, f/2.0, (wide)","16 MP, f/2.0, (wide)","16 MP, f/2.5, (wide)","16 MP, f/2.5, (wide)","8 MP, f/2.0, (wide)","8 MP, f/2.0, (wide)","8 MP, f/2.0, (wide)","5 MP, f/2.2, (wide)","5 MP, f/2.2","32 MP, f/2.0, 20mm (ultrawide)"
NFC,Yes (market/region dependent),Yes (market/region dependent),No,"Yes, eSE, eSIM",No,"Yes, eSE","Yes, eSE",No,,Yes (market/region dependent),Yes (market/region dependent),No,Yes (market/region dependent),No,No,No,Yes
USB,"USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","USB Type-C 2.0, OTG","microUSB 2.0, OTG","USB Type-C 2.0, OTG"
Sensors,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Fingerprint (side-mounted), accelerometer, proximity, gyro, compass","Fingerprint (side-mounted), accelerometer, proximity, gyro, compass","Fingerprint (side-mounted), accelerometer, proximity, compass","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Fingerprint (side-mounted), accelerometer, proximity, compass","Accelerometer, proximity","Accelerometer, gyro, proximity, compass (market/region dependent)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum"
Battery Type,"Li-Ion 5500 mAh, non-removable","Li-Ion 5000 mAh, non-removable","Li-Ion 4800 mAh, non-removable","4600 mAh, non-removable","Li-Ion 4800 mAh, non-removable","4600 mAh, non-removable","4600 mAh, non-removable","Li-Ion 5000 mAh, non-removable","4500 mAh, non-removable","5000 mAh, non-removable","5000 mAh, non-removable","Li-Ion 5000 mAh, non-removable","Li-Ion 5000 mAh, non-removable","5000 mAh, non-removable","Li-Ion 5000 mAh, non-removable","5000 mAh, non-removable","Li-Ion 5000 mAh, non-removable"
Charging,"44W wired, PD
Reverse wired","80W wired, PD, 100% in 48 min (advertised)
Reverse wired",44W wired,"80W wired, 1-50% in 17 min (advertised)",44W wired,"66W wired, 50% in 19 min (advertised)","66W wired, 1-50% in 19 min (advertised)","80W wired, 1-80% in 30 min (advertised)
Reverse wired","44W wired, 60% in 30 min (advertised)","44W wired, 30% in 15 min (advertised)
Reverse wired","44W wired, 30% in 15 min (advertised)
Reverse wired","15W wired
Reverse wired",44W wired,"15W wired
Reverse wired",15W wired,"10W wired
5W reverse wired","120W wired, 1-50% in 11 min (advertised)
Reverse wired"
Colors,"Velvet Red (Coco Brown), Silk Blue, Sky Mirror","Bloom White, Waving Aqua, Lush Green, Noble Black","Forest Black, Rose Gold, Ice Creek Blue","Space Black, Himalayan Blue, Purple Fairy, Majestic Red","Forest Black, Rose Gold, Ice Creek Blue","Magic Blue, Noble Black, Emerald Green, Flowing Gold","Glory Black, Lavender Purple, Lively Green","Crystal Black, Breeze Green","Metal Black, Twilight Gold, Pacific Blue","Crystal Green, Mystic Black","Meteor Black, Gold, Aqua Glitter","Crystal Purple, Glitter Aqua","Burgundy Black, Garden Green","Glitter Purple, Forest Green","Space Black, Gem Green","Orchid Blue, Cosmic Grey, Sunset Gold","Startrail Blue, Asteroid Black, White, Orange"
